word,meaning
kasa indí,"fish smoked or dried on such a structure and kept on it for sale, especially dried bonga-fish"
keébì,"vigorous dance for men and women with drumming, originally from Southwest Nzọn, directed by a leader with a whistle"
keébì,"the men wear a wrapper and a long-sleeved shirt, and hold a walking-stick"
kélee,peeping by craning one’s neck
kẹẹ́n²,"fatty second dorsal fin, or adipose fin, on the back of some fishes next to the tail"
kígbo¹,"tree used for timber and for carving canoes, masks, and small paddles for dancing (Alstonia boonei De Wild. or"
kígbo²,"salt-water fish, the bonga-fish or bonga shad"
kílò,kilo
kilógràmụ,kilogram
kilógràmụ,kilo
kilómìta,kilometre
kilómìta fanụ,square kilometre
kíriabọlọụ,anti-social activity or behaviour
kíri-àkalụ,tuber of Gloriosa superba
kíribèní,groundwater
Kíribẹ̀ịn,"one of the chief male deities of Gbaraịn ibé, whose seat is at Okotiamá"
kíri-bólou-ụngọ,mineral
kíribọọ̀-ababuru,cassava that has been left in the ground beyond the normal time of harvesting
kíribọọ̀-ababuru,cassava left in the ground after the owner has abandoned the farm
kíridụ,base
kíridụ,bottom
kíri-ekpè,lower jaw
kírikọọ̀bọ,person remaining
kírinanàbọ,landowner
kírinanàbọ,landlord
kíri-ofòni,tame bird or fowl
kíri-ofùro,carpet viper
kíri-owòso,"tree with strong wood, used in canoe carving"
kíri-owòso,"it is also sawn to produce planks used as door and window frames, and wall-plates"
kíri-ọbọlọụ,habitual way of doing things
kíri-ọtọ̀kọ,ground
kíri-ọtọ̀kọ,earth
Kírisìmésì,Christmas
kírisouyè,plough
kírisouyè,crowbar
kírisọọ̀n,earthworm
kíriyewàrị,ancestors’ shrine where confessions are made by the inhabitants of a town to the Amánanaowei and the elders
kịẹ́n²,enumeration
kịẹ́n²,calculation
kịẹ́n³,act
kịẹ́n³,drama
kịẹ́n³,dramatic episode within the context of a dance
kịẹn tụá,"act, dramatize, an episode"
kịẹnleleí,numeral
Rómánì ̣ kịẹnlelei,Roman numeral
kịẹnye-gbáye,sentence
naá-karagha-kìẹ̣nye-gbáye,open sentence
kịẹnyeé,number
kịẹnyé ìkpeseama,mathematical instruments
kịẹnyé ìkpese ekpeti,mathematical set
díḅ ụụ kịẹnye,whole number
eréanga kịẹnye,even number
nẹ́gètivi kịẹnye,negative number
owéianga kịẹnye,odd number
Kịlẹgbẹghá,name of a compound in
kóbiye,"fish, the African carp"
kóbudẹịye,solution
kolérìa,cholera
koló²,moonfish
kóloye,serious matter
konú,back
konú,"upper or front side of objects such as cane- rope, paddle, etc"
konu-birí-ùngbou,backbone
konu-birí-ùngbou,spine
konutọrụ́,joint at back of hip
Kóroama,a town in Gbaraịn ibé of Northern Nzọn
kósu²,seniority
kosudáụ̀,grandfather
kósukịmị,elderly person
kóun¹,“potash”
kóun¹,a yellowish-grey stone from the North which is ground for use in cooking and with snuff
kọ́nụ,first-born
kọ́nụ,first-fruits
kíri kọnụ̀,"first bunch from a plantain farm, which is not eaten by the owner alone, but distributed to relatives, friends and elderly people"
tọbọụ kọnụ́,first-born
kọọnbisóu,girth of the neck
kọọn-ịbá,length of the neck
Kọrịpamọ́,male personal name
kọrịyọámà,shares
kọ́rọ,wine-palm
kọ́rọ-ofoni,"beetle developed from dọ́ụ̀n , the wine-palm grub"
kpalakpalayé,"small, unimportant item"
kpápụ̀,scissors
kpó²,"ball or lump of fufu, native chalk or native medicine"
kpókpofịyàị,bits of raw food offered to the gods
kpólu²,tuft
kpólu²,dúma kpolu tuft of hair
kpólu²,bunch of hair gathered together in one place on head by women
kpuruké¹,obsolete beautiful pot
kúbu¹,“fathom”
kála kubù,“short fathom”
opu kubú,“long fathom”
kúkuùndukú,sweet potato
kumú,climbing herb which is beaten and put in ponds to kill fish
kumú,"generally, anything used as fish poison"
kuné²,presenting of gifts to a daughter going to stay with her husband
kúre²,erosion
kúre²,landslide
kúsu¹,underpart of canoe
kúsu¹,keel
kútou,"set of 3 conical, open, wedge- laced drums, the centre one being longer and bigger than the side ones"
kútou,"they are placed on two plantain stumps on the ground in one row, and the drummer sits on the central drum with the two side ones under his legs"
kútou,he then beats with a stick with the right hand and also beats with the left hand simultaneously
kútou,used esp. for the óu dance
kutú,"tree with large inedible fruit, used for medicine for matchet wounds Burret TILIACEAE)"
kúu,pitcher
kụ́atà,one and a half “yards” of cloth
kụ́atà,headtie of one and a half “yards”
kụ́ayà,choir
kụkụlá,tree used for carving canoes and
kụ́nụ²,mourning
kụ́nụ²,kụ́nụ bịdẹ mourning dress
kụ́nụ²,widow’s weeds kụnụkụnụ́ v.acc. feel pity for
kụ́nụ̀pulou,special first-rate palm oil kụ́nwẹn see kụ́wẹn
kụ́pụ¹,eczema
kụ́raị¹,year
béi kụràị,this year
bóyemi kụraị/ọmbụ kụráị,next year
bọ́ọdẹị kụraị,last year
kụ́raịmọ sẹ̀/kụ́raị kụraị,every year
Kụ́raị²,one of the Kólokùmá deities whose seat is at Ayibabiri
kụrọnamá,dangerous wild animal
kụrọnama-tọ́bọ̀ụ,cub
kụ́ụ²,loud roaring noise
kụ́ụ³,mahogany tree or wood
kụụ́n,comb
laá,whitish slimy matter produced by inflamed or injured eye
labá²,embrace
lába,judgement
lába pẹlẹ,give judgement
lábapẹlẹowei,judge
laịtiríkì,electric light
laịtiríkì,bara electric
lébele,"porcupine, Brush-tailed Porcupine"
pẹrẹ lebelé,Crested Porcupine
lékè¹,swing
lékè¹,swing in which a strong climbing rope is tied to two strong sticks pinned by the river side
lékè¹,"on the loop provided, someone sits and is pushed by others until he is ready to jump into the water"
loloú²,shout of alarm
lolou tụá,raise an alarm
maasụnyé,two-dimensional shape
máịkà,mica
mákụ̀rị,mercury
mení¹,flesh
mení¹,fleshy pulp
mení¹,meniamá proteins
mení²,thickness
mení²,"excessive thicknesses or bulges in a canoe which, if left alone, keep the canoe uneven, and thus cause it to bend towards one side or the other, or cause cracks. When such portions are observed, they are removed carefully with the appropriate axe before the final heating is done"
milílìta,millilitre
minítì,minute
mísisì,frock
mísisì,gown
mịẹ́bìnmọghọ́pàayọ,product
mịẹ́bìnmọyé,multiplier
Mịẹlaamọ́,personal name
mịnịmọkọrịghá,"yam variety which is very good for food, hence the name"
mịnịmọọ́,area including throat
mịnịmọọ́,throat below Adam’s apple
mịnịmọ tuu tụá,be greedy
mịnịmọọ́,be gluttonous
mịnịmọtuú,gluttony
mịnịmọtuú,greed
móbàịlịama,mobiles
mode moolomóolo,flexible
múla,a short duration of time
múla,spark
mumúlù,bug
naánà,mummy! mother!
naayeé,hearing
náịn²,ninepence
náịlọ̀nị,artificial material such as nylon
náịrà,"naira, the Nigerian currency, symbolized by N"
Naịzírìa,Nigeria
námabawarị,abattoir
námabawarị,slaughter-house
námabụọ,foot of animal
námadiri,“medicine” which protects crops from being destroyed by animals
náma-dịẹgha-ìndi-dịẹghá,common people
námafịyaị,"food, usually plantain, cut into three pieces and cooked with blood and meat from a freshly-slaughtered domestic animal, without palm-oil"
náma-ingbe,horn of animal
niiyeé,nose
ningbí²,bullying
nínghinangayè,octagon
nínibarà,wing of nostril
ninibarasụ́ụ̀,guerrilla warfare
nínibọlọ̀ụ,tip of nose
nínibọlọ̀ụ ghọ gbaná,boast about one’s kindness to a particular person
nínibọọ̀,entrance to nostril
ninifọụ́,dishonest business or transaction
ninifọụ túbò,act dishonestly in business
níni-opòolo,nostril
níniyaịnmọ̀,top of bridge of nose
níniyeàma,mucus
nóun,needle
obé,African pear (Dacryodes edulis
obékè,cocoyam type
obiribụnụmọ́¹,herb
obírima¹,mole
obírima-gẹẹgbasa,pen-holder
obírima-tèbi-pẹ́lẹ̀,centipede
obó,pipe
suboi-obó,barrel of gun
obókù,water-yam type
obooroó,depressed ground
obooroó,hollow place
obooroó,valley
obooroó,grave
obóri,goat
obóri ịmẹẹlẹị goat’s,fat
obóri,Sayings
obóribaụ,disfavoured wife
obórifurou,mildew
obóritọbọụ,kid
obóri-warị-koru-araụ,disfavoured wife
obúbu,globe-fish
obúbu,puffer-fish
obudoú,mist
obudoú,fog
obudoú,clouds
obúdu,ooze
obúdu,mud
obúdu,"silt-clay deposited by flood water, brought out from the water and used in floating palm-kernels"
Obúdupotou,traditional lunar month corresponding roughly to December
obúgu,"catfish, in the group of ụlụ́ma"
Obúnàgha,the ecclesiastical headquarters of Gbanraịn ibe in Northern Nzọn
odedébàra,stamen
odedébàrabọlọụ,anther
odedébìri,style
odedébọ̀lọụ,stigma
odedéfùrou,pistil
odedépọ̀ụda,pollen
ódèé,"antelope type, probably the Yellow-backed Duiker , now almost extinct in the area"
ódèé,sheepish person
"Odi,","the northernmost town in Kólokùmá ìbe, the seat of Kólokùmá Zìbaaraụ"
odóbàra,pestle
odóbaị,very small snail
odóbaị,"bii go into a town or compound singing and dancing, to shame the people into coming out to wrestle with them"
odóbaị dọụ,look for snails
odóbaị,look for small presents in kind from neighbours
odogoríà,"game for boys, in which one boy holds a midrib of the wine-palm in each hand and is dressed in wine-palm leaves like a masquerade. He chases and flogs the other boys"
odógu,chief
odógu,"head of a body of men, organization or party"
odógu,ruler of a group of
odóguasàra,scorpion
odokó,large bird of prey
odokó,"it resembles the hawk, but bigger"
odú²,white of egg
odú-ba-bùru-baá,"universal antidote taken by wrestlers, which must be removed after wrestling before going to the farm"
odúbàụ,cocoyam tuber
odúbèri,cocoyam leaf
odúbèrí,sting-ray
odubó,duty
odubó,service
odubó,odubo gbaá serve
odubo-aráụ,servant-girl
odubo-aráụ,handmaiden
odubo-owéi,servant
odubo-tọbọ́ụ,servant
odúgbòró,twisting line or shape
odúgbòró,illegible handwriting
odúgbòró,squiggle
odú-gbòró-gbòró¹,"picture-writing on a sandy surface, where children use one, two or three fingers to produce wavy lines"
odú-gbòró-gbòró²,"children’s game where one child moves towards the rest, calling ‘Odú-gbòró-gbòró-…’ on one breath. A player who takes a breath before reaching the others is disqualified"
odú-òpotou,"flower of ịzọ́n-odu, the old"
odúuduu,"bird, probably the Hadada Ibis"
ofían¹,broom
ofían²,yam shaped like a broom
ofínyo-gbọ̀lụbáụ,masquerader with no mask on his head
ofínyo-gbọ̀lụbáụ,"in other respects, he is dressed in the same way as other dancers"
ofíofiò,underhand business
Ofíofiò sụ́ọdọụ,Some one must have gone behind your back to advise against what was previously agreed or promised
ofiyoú,whirlpool
ofiyoú,eddy
ofófò¹,tree which is not good for firewood Benth. CECROPIACEAE)
ofófò¹,useless
ofófò²,wateryam type which is very white inside and requires less than the normal time for cooking
ofoló,"bonga-fish or bonga shad, from brackish-water areas, sold on racks"
ofomú,"heavy breathing, panting, usually after a strenuous job or running"
ofónì,the biggest species of shrimp or “prawn”
ofónì,kọ́rọ-ofoni palm beetle
ofóni,bird
ofóni,fowl
amá-ofoni,domestic fowl
bou-ofónì,wild bird
eré- ofoni,hen
kála òfoni,secret informer
kíri-ofòni,domestic fowl
owéi- ofoni,cock
ofóni,rooster
ọgọnọ-ofónì,wild bird
ofóni,Sayings
ofóni-anga,bird’s/hen’s egg
Ofónibiri,a town in Opokumá ìbe of Northern Nzọn
ofónibịbị²,beak
ofónibịbị²,bill
ofónibụọ²,"tattoo marks placed at the sides of the mouth or eyes, having the shape of the toes of the fowl, i.e. broad arrows"
ofónidọn,epidemic disease of fowls
ofóni-imemein,claw
ofóni-mịnịmọ,gullet
ofóni-okolotuu,gullet
ofóni-otoin,"boil which, when ripe, does not contain pus, but water, lighter and less serious than the ordinary boil"
ofóni-otoin,carbuncle
ofóni-tịbị-ghọ-bịẹngha,"tree used to mark boundaries, whose leaves are chewed and medicinally spat on to body for pain from pneumonia, and whose root is cut up and taken in gin or cooked in plantain for hernia Bak. or"
ofónitọbọụ,chick
ofónitọbọụ,young fowl
ofónitọrụ,"blindness which is pronounced only in the night, and sometimes when the sun is hot"
ofónitọrụ,night-blindness
ofóniyaị,"form of abuse in which one stresses one’s own weakness, misfortune, etc., in comparison with someone else’s better position ̣"
ofóniyaị,fie speak in such a way
ofóra,husk
ofóra,slough
ofótịbịawere,"snake, probably the Gaboon Viper"
ofukú¹,bellows
ofukú²,"a style of hair-plaiting in which no thread is used, associated particularly with priestesses and with the Okpotu festival"
ofukú²,ofuku dụnụ́ plait in the ofukú style
ofúogòri,reckless living
ofúogòri mịẹ,play the fool
ofúogòri tọbọụ,young person with foolish or wild behaviour
ofúropa,the appearance of rash on the mouth of a patient
ofúrumà,"fish resembling eléì, the Sicklefin Mullet, found in both the river and the sea"
ogbó,land
ogbó,ebi ogbó good or fertile land
zii ni ogbó gbein,"bear children, all of whom live long"
ogbobẹlẹ́,large pot for big families Sizes of pot include
ogbobíè,used in
Ogbobínì,"Igbobini, a town in Western Apọị"
ogbóbiri,dry land
ogbóbiri,an area which is far from the river
ogbobịdẹ́,“uniform”
ogbobịdẹ́,same material worn by members of a group
ogbógozì,"smallest canoe made of the trunk of paá tree, with one seat at the centre and paddled by only one man"
ogbói,remnants of fairly large pieces of a broken canoe
ogbó-igburugburu-arụ,train ogbó-iwiri tortoise
ogbokó,"bird, probably the Goliath Heron"
ogboló,wake
ogboló,disturbed pattern of water left by moving boat or fish
ogbolokụ́rọ̀,title of ẹkẹ́ụ-fish
Ogbóloma,town in Gbanraịn ibé of Northern Nzọn
ogboó²,society
ogboó²,club
ogboó²,group
ogboó²,ogbo ghọ sụọ́ join a society or club
ogboó²,ogbo tịbịówèi chairman
ogboó²,president
ogbóògbó,"something imaginary, make- believe"
ogbóògbó fìỵaị tụọ,cook make- believe food
ogbóògbó,name of an imaginary town or person in a story
ogbóògbó,dummy
ogbóògbó,simpleton
ogbórodìi,a thorny creeper
ogbórodìi,eré ogborodii
ogbórongbo,empty thing
ogbóru,pugnacious attitude
ogbóru dọụ,"be aggressive, spoiling for a fight"
ogbóru,seek a quarrel
ogbóru-ere,someone always looking for trouble
ogbórukịmị,"someone, esp. man, always looking for trouble"
ogbotirí,at the spot
ogbotirí,instantly
ogbotirí,scene of incident or accident
ogbotirí,ogbotiri kọ́ọ̀ kóro collapse and die instantaneously on the spot
ogbótòrú,a nickname or wrestling title
ogbótòrú,an imaginary god invoked for the removal of the teeth of the opponent
ogbudú,traditional wickerwork coffin . The grades in ascending order are
ogbudugbú,dregs
ogbudugbudú,residue
ogbúgba,thickness
Ogídi,nickname of Kai¢ama
ogidí,matchet
ogidí,“cutlass”
ogidi-abọ́,scabbard
ogidi-abọ́,sheath
ogidikírikpụ̀n,pygmy
ogidikírikpụ̀n,extremely small person much below the size of an ordinary man
Ogidimálụ̀,fierce “masquerade”
ogíè,"a forked stick together with a bottle of water and other things attached to a possession kept outside, and used to scare away prospective rogues from it"
Ogíè ụ kọrịdọ́,He has suffered for tampering with something to which ogíè had been attached
ogíè tụa,attach ogíè to something
ogiloloó,natural source of water
ogiloloó,spring
ogiloloó,ogilolo bení spring water
ogiloloó,stream water
ogiloloó,erosion channel
ogilolo puú,run down erosion channel
Ogínaaraụ,God
ogó,food crops gleaned from former crop
ogo kaán,glean left-over crops
ogódo,an obstinate person
ogódo,obstinacy due to deafness
ogóin,killifish or Toothed Carp
ogólo,"game played by boys or men with the stem of the plantain in the bunch and ogólogbasa, a piece of bamboo sharpened at one end"
ogólofie,slave
ogólofie-bịẹn-bagha,scapegoat
ogólofie-bịẹn-bagha,a slave
ogólofie-bịẹn-bagha,a person forced to work for and obey another against his will
ogólogbasa,"piece of bamboo sharpened at one end, used in the game of ogólo"
ogóni-òu,inexperienced and unskilful masquerader who comes to dance a day or two before the real masqueraders come to dance
ogóni-òu,any bad dancer
ogóran,vertical sharp edge of any upright symmetrical object
ogóran,edge
ogórankutu,prism
ogóran-ogoran,sideways
ogorí,draw as a result of both contestants falling
ogori koró,draw by both contestants falling
ogórì,“bush-cow”
ogórì,buffalo
ogoú,axe
ogoú,blade
ogoufụụ́,helve or handle of axe
ogúanràụn,giant
ogúanràụn,superman in stories associated with Ado
ogúga¹,door
ogúga²,supporter
ogugú,hole
ogugú,pit
ogugú,pond
ogugu bení,pond water
ogúmògú,hand piano
ogúmògú,a kind of musical instrument made of a wooden box on which varying lengths of bamboo are fastened to the top plank with a flexible cane rope. An oblong hole is bored at the end of the bamboo lengths for resonating. It is used during the keébì dance
ogún,warfare
ogún,mishap
ogún,panic
ogún,crisis
oguró,"boiled, squeezed and strained palm nut liquid used for soup"
óin-dọn,diffused dropsy
óin-dọn,anasarca
óiya-kụràị-biri,decade
okií,sawfish
okinikínì,"title for the python , also taken as a title by good wrestlers"
okóbà,money
okóbà,Sayings
okóbara,mat with two corners woven with cane ropes
okóbara,"kála òkobara a mat rainhood, usually woven with pínì or akaanlá"
okóbàbiri,amount
okóbàtịbị,coin
okóbàtọrụ,cowry
okókò-saka-buru,yam that has been burrowed into by the yam-beetle
okólaị,"a graceful bird which flies up from the ocean, probably the African Skimmer"
abadị-okólàị,"seabird, probably a tern"
okoló¹,voice
okoló²,creek
okoló²,a canal or channel dug to carry water for navigation
Okólobìri,town in Gbanraịn ibé of Northern Nzọn
Okólodè,festival in Ekpetiama which is celebrated on 5 June every year
okolotuú,throat
okolotuú,"greediness, gluttony"
okolotuú,okolotu tụ́à be greedy
okómù,white round yam
okomúkà,person with a large head
okoó,"half-shell of coconut with stick attached, used as ladle"
okoókpòmu,wallet
okoókpòmu,a container of treasures for women
okóri²,expert
okoríkòko,bird
Okorosó,shrine set up for the protection of people against the attacks of crocodiles in Osiamá in Southern Nzọn
okosí,"otter , and also the Marsh Mongoose"
okotí,he-goat
okoti-adírimà,"variegated type of  black and yellow, found on pepper plants"
okoti-ịtákụ̀,young he-goat
okotó,forehead
okotó,fortune
okotó,luck see under ẹkẹ́ụ
Okówarị,"name of a group of towns, namely Abúwàrị, Ayákòróamà, and Órubiri, in Opokumá ìbe of Northern Nzọn"
okóyaị,name of a dance which originated in Sampọụ́ in Kólokùmá
okóyaị,dumaama songs sung during okóyaị
okpó¹,mud seat round sides of ụgụ́la
okpó¹,natural submerged sandbank or causeway
okpó¹,embankment
okpó¹,make embankment in bay or inlet to catch shrimps
okpó²,"big top whose pointed end haas been broken off, resulting in a very strong top for playing"
okpoí,squirrel
okpoí,"specific type, intermediate in size between kẹ́kụ̀rụ and dúdu"
okpoi-saán,name of a plantain whose aborted fingers resemble a squirrel’s tail
okpókìrikpó,"the biggest round pellet for gun used in shooting big animals such as buffalo, elephant, etc"
okpókoro,"uncracked palm nuts, after flesh has been removed, containing both shell and kernel"
okpókpo,empty case of something
okpókpo,skull
okpólokpoi,"stool carved from a single piece of wood such as paá, eké"
okpómù,small cane-rope basket
okpómùtun,"a fez woven with cane-ropes and covered with cloth both inside and outside, and fitted with a tassel"
okpómùtun,worn only by mock policemen during native dances
okponú,harpoon
okpóoro,"“porridge” or pottage without fish, meat, or shrimps"
okporokoó,stockfish
okporúmàdede¹,balloons used as toys by children
Okporúmàdede²,masquerade made up of headties
okpútù,decayed matter
okpútù,piece of a decayed animal or fish
náma okputu,decayed animal
indi okpútù,decayed fish
Okú,nickname for the founder of Tombia in Ekpétiama
okúan,belle
okúan,the most beautiful woman in a
okurú,"bag for keeping ammunition and gunpowder, made of hide"
okurukúrù,"bird, any owl"
okurukúrùtọbọụ,owlet
okuún,ocean
ológbòsí,cat
ológbòsítọ̀bọụ,kitten
olókò,"fruit of the wild date palm used by diviners for predictions, usually stained white and red"
olókò,"bii predict through the use of olókò, or consult the spirits by the use of olókò"
olókò tịn,the date palm tree which bears the olókò fruit
olóko,law
olóko,agreement
olóko,bet
olóko dan,violate law
olóko ghọ koro,break law
olóko seimọ,abolish law
olóko tụa,enact law
olóko,make bet
olóko,Saying
olókò-bii-ere,female diviner using olókò
olókò-bii-owei,male diviner using olókò
ololó,one-stringed fiddle
olólo,bottle
olólo bịbị tuoye/ olólo bịbị,teriye money added to bottles of drinks for extras at traditional ceremonies
olololíò,addiction to any bad practice
oloó¹,plant of the cactus type with thick green leaves and stem whose sap is poisonous to the eyes
oloó²,"over-boiled palm oil, which appears yellowish"
olo bọọ́,be over-boiled
olulú²,anger
olulú²,wrath
olulu sụọ́,show anger easily
olúlu,driver or soldier ant
olúlu ịgbalị,line of soldier ants
olúlu-ịgbalị,"temporary hairless line on the head of some babies, which usually disappears when the first hair is shaved or cut off"
olúlùlú,"dungworm, which moves fast, is brittle,and has a red portion near the head"
ombóye,tasselled velvetine used to cover the túu sukou of the masquerade
omóni¹,slavery
omóni¹,slave
omóni¹,male slave who has been purchased and whose male children are also slaves. The names for the different generations of slaves are as follows
omóni²,"whitish type of ọgbọ́lọ̀, with pointed black tip, commonly found among im¢¢¢¢ beb¢¢¢¢ e¢¢l¢¢ é¢¢ ¢¢"
omónibou,burial ground for slaves and strangers
omóni-ebiede,first-generation son of omóni
omónifịrị,bond-service
omónifịrị,service not appreciated by the master
omónikọmị,first male son of a slave
omóni-odubo,bond-service
omóni-odubo,service not appreciated by the master
omoró,beautiful girl with a fair complexion
omoró,handsome boy with a light skin
omosóu,flower
omosóu tụ̀a,flower
ongóloi,short form of osi ongólòi empty snail shell
ónìní²,snake species which is harmless
onúga,cloth type
onúmọ̀kóungbà,name of a charm or medicine
opó²,"trail or track, showing that something has passed"
opoó,barrel
opoó,suboi opó gun barrel
opórìópò,pig
opóriopòtọbọụ,piglet
opóriopòwarị,pigsty
opóriopòwarị,piggery
Oporoza,Nzọn town in Gbaramatu ibe
opóto,nickname for “fufu”
Opu-aịn,name of a lake in Ekpétiama ibe
Opudábà,one of the Kólokùmá deities whose seat is at Kalama
opudọọ́n,smallpox
opu-ọgụ́n,lemon
opúru,"general term for larger kinds of “crayfish”, shrimp or “prawn”, including agbadá, ayánfaran-bara-dii, desi-ní- ụ̀babẹ́ịn, indébèfú, ingbéte, ofónì, and ọníọ̣̀"
opúru,"more specifically, medium-sized as opposed to very large types"
opúru adie,"shrimp-colony, where shrimps are packed together in one place under the soil"
bou opúrù,"type caught outside the flood-plain, larger and darker than itóbo opuru"
dụ́wẹị opuru,"inedible shrimp, pale and with very soft carapace"
eré opuru,female shrimp
itóbo opuru,"Macrobrachium felicinum caught on flood bank, of medium size, lighter than bou opúrù"
Kọ́lamà tọrụ opuru,shrimp sp
opúru anga/ọgụgọụ,eggs or roe of shrimp
opúru tịnẹ,reeve or thread shrimps on a string
fíṇ a òpuru,shrimp cake
opuí,big thing
opúru-anga,shrimp roe prepared for eating
opúru-ọgụgọụ,herb with pink or mauve flowers used medicinally for bronchitis and fevers Triana MELASTOMACEAE)
opurúrù¹,"a rotting disease that attacks the edible part of the coconut, making it inedible"
opuyenghí,great-grandmother
órie,state of being an orphan
órie,orphanhood
órie tọ̀bọụ́,an orphan
orísi,laziness
orísi,a state of indecision and of inactivity
orisií,male type of ogírizì
ororó,ẹgúsi or groundnut oil
oróro¹,gutter
oróro¹,stream
oróro¹,natural channel
oróro²,bull-roarer
oróro²,oróro fọụn play bull- roarer
orosó,tailor ant
orotó,"flute having a blow-hole at the end, and one at the side, made either of calabash or of the horn of an antelope"
óru,deity
óru,god
óru,divinity
óru,“juju”
óru karị,worship a deity
óru,koro dance for the gods
óru,be possessed
óru kọ̀rí ̣,possess
óru,be avid for
óru,be dedicated to
óru,be devoted to
óru,subo be bearer of a deity
óru sụọ,be of abnormal shape and therefore devoted to a deity
péle-bọọ-dii-oru,"deity which protects a péle, made in same form as tómu- bọlọụ-dii-oru"
tómu- bọlọụ-dii-oru,"deity protecting the quarter, carved with matchet in right hand, spear in left, wearing a loin-cloth of alọọ́ or ịnụụ́"
óru,"one faces the river, one faces the bush, to protect the quarter from evil"
óru-arụ,sacrificial canoe
óru-egele,dance in procession for the deity
órufebele,smaller fish with a long snout
órufuowei,"son-in-law of the óru, i.e. husband of the woman who is organizing an órusẹị for her personal god"
óru-odubo,service of a deity
oru-otú,ancestors
oru-otú,forefathers
órupegi,small insect-eating bat
órusẹị,dance for a deity
óruwarị,shrine
Osiamá,town in Southern Nzọ́n
osibọlọ́ụ,slug
osidụnghọ́,tree often used for firewood
osií¹,"giant land snail, edible"
osií¹,"its parts are osi angá eggs , osi bọlọ́ụ front , osi fịlá slime, osi ingólèi shell, osi tuú end"
osi ọngọ́,look for snails
osi tịbí,̣ a single snail
amá ogbo osi,snail found around town
bou osí,edible snail found in bush
pẹrẹ osí,king snail
osií¹,Saying
osími,millipede
"ingbeke mọ, osími mọ",The stick that carries the millipede with the millipede
osímidii,a muscle contraction often observed on the fleshy part of the upper arm when suddenly struck
osisí,seine
osisi kọọ́n,fish with osisí
osíosiò,Olive Colobus monkey
osobá,long period spent at home because of sickness
osokurú,"larva of the yam-beetle , grub resembling the okpokurú in shape and form, but smaller in size. It lives in the soil and in coconut shoots, and destroys crops"
osún¹,state of having become bonded to a deity in exchange for protection
osún sụọ,become a slave
osún-gbè-bẹlẹ,pot used for preparing starch
osún-gbè-gbasa,stick used for beating
osuó,rain
osúò¹,"cabbage tree, whose roots are steeped in gin or water and taken as a remedy for hernia osúò² see osúà"
osuobará,line of rain
osuo-ifíè,rainy season
osuo-ipé,rainbow
osuokaramọ́,protruding canine teeth of human beings and bush pig
osuo-koromọ́-ụ̀lụma,catfish believed to be brought down by rain
osuo-kọrị-dírì,a medicine which prevents rain from falling at the time of any important event or function
osúowèi,"dwarf, esp. used in myth"
osúowèi,sprite
osúowèi,small goblin
osúowèi,an evil and mischievous spirit. Its titles are akpakírikpụ̀n and bounanáòwei. oteín see otoín
otí,large size
Otí,chief deity of Tombia in Ekpetiama otíetiè see otíotiò
otíti¹,"bird, the Senegal Coucal"
otíti¹,lazy or weak person
otíti warị,nest of coucal
otíti warị,hole formed by children piling up sand over foot and carefully withdrawing it
otíti²,"brownish-yellow palm kernel that has gone bad, especially through age"
otó,profuse flow
otó,much flow as liquid
asịn otó,profuse flow of blood
pulou otó,profuse flow of oil from “mashed” heap of palm fruits
otobó,hippopotamus
Otoboyaị,one of the Kólokùmá deities whose seat is at Sampọụ́
otoín-wàrị,mature boil
otókorotọrụpịna,smallest size of Niger perch
otóngbolo,mosquito
otóni,wing
otóni,organs for flying
otónibolou,armpit
otónibolouduma,hair inside armpit
otooloó,tuft of grass or hair
otóro,plant with corm
otóro²,excessive water suspected in the womb during pregnancy
otórobeni¹,describes a pond or lake without enough fish
otumotuwéi,trousers
dánghaị òtumotuwei,trousers
ikísa otumotuwei,shorts
otúoye,collection
otúoye,contribution
otútù,general term for various small freshwater shrimps
abadị otútù,very small salt-water shrimp
bou otútù,"bush shrimp, comprising several species, generally considered tastier"
tọ́rụ otutu,"juvenile shrimps of Macrobrachium genus migrating upstream, esp"
otútù,felicinum
óu²,“masquerade”
óu²,"i.e. the mask , the masquerader, and the masquerade dance"
óu bou tei,rehearse masquerade dance
óu gbein,dress a masquerade
óu sẹị,dance masquerade
óubeni,tears
óùn,sand
óun sẹ̀lẹ,grain of sand
kporókpòró òun,gravel
óùn,pebbles
óùn,sand
óusẹị,masquerade dance
óuyaị,tears
ovuloú,"movement of water caused by paddles, propellers, fish, or animals"
owéi,"male, man"
bọ́lọụ owei,elder brother
owéi ere!,strong woman!
owéi kịmị,male person
owéi kịmị!,strong man!
owéi paa,develop one’s personality
owéi,come of age
owéi popolo,tie cloth in a special way around the waist folded heavily to the right or left
owéi,pui boast
owéi,show one’s strength
owéibara,right hand
owéibara-ànga,"male side, i.e. right"
owéibùrú,white long yam
owéi-ịkpịrịbụịkpịbụ,medicinal herb
owéi-òbirí,dog
owéi-òfoni,cock
owéitọ̀bọụ́,male child
owéitọ̀bọụyé,hernia
bólou oweitọbọụye,indirect hernia
owórò,carved piece of bụrụ́n-wood on which isélebara is ground to produce camwood paste
Oyóbu,the Anglican headquarters of Opokumá ìbe in Northern Nzọn
Oyonmá,"Onyoma, a town immediately south of Oporoma in Southern I¢zo¢n"
oyónbàụ,giant water bug
oyónbàụ,"name of the legendary wife of Iwíri, the Tortoise"
