word,part_of_speech,meaning,example,meaning_original,original_meaning
imosoú,n.,"inflorescence of oil-palm, usu. líị ̣ ìmosou ínà see íinà mummy",,"inflorescence of oil-palm, usu. líị ̣ ìmosou ínà see íinà mummy","inflorescence of oil-palm, usu. líị ̣ ìmosou ínà see íinà mummy"
indaá,n.,gum,,gum (of mouth),gum
indébèfú,n.,salt-water shrimp,,salt-water shrimp,salt-water shrimp
indiámènisóù,n.,blow-fly,,blow-fly (Chrysomyia chloropyga),blow-fly
indií,n.,fish,Bení dụ̀bá ìndi indíghà Big water does not always contain plenty of fish (cf. All that glitters is not gold.),fish; indi baá catch fish; bou-indí fish found in lakes and fishponds; ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership; tọ́rụ-indi river fish,fish
indií,n.,indi baá catch fish,Bení dụ̀bá ìndi indíghà Big water does not always contain plenty of fish (cf. All that glitters is not gold.),fish; indi baá catch fish; bou-indí fish found in lakes and fishponds; ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership; tọ́rụ-indi river fish,indi baá catch fish
indií,n.,bou-indí fish found in lakes and fishponds,Bení dụ̀bá ìndi indíghà Big water does not always contain plenty of fish (cf. All that glitters is not gold.),fish; indi baá catch fish; bou-indí fish found in lakes and fishponds; ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership; tọ́rụ-indi river fish,bou-indí fish found in lakes and fishponds
indií,n.,ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership,Bení dụ̀bá ìndi indíghà Big water does not always contain plenty of fish (cf. All that glitters is not gold.),fish; indi baá catch fish; bou-indí fish found in lakes and fishponds; ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership; tọ́rụ-indi river fish,ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership
indií,n.,tọ́rụ-indi river fish,Bení dụ̀bá ìndi indíghà Big water does not always contain plenty of fish (cf. All that glitters is not gold.),fish; indi baá catch fish; bou-indí fish found in lakes and fishponds; ẹbẹ́gụ indi the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership; tọ́rụ-indi river fish,tọ́rụ-indi river fish
indóubarị,n.,return match,,return match,return match
indóubeni,n.,breast-milk,,breast-milk [‘breast-water’],breast-milk
indóubọlọụ,n.,nipple,,nipple [‘breast-tip’],nipple
indóutekeleye,n.,brassière,,brassière [‘breast-support- er’],brassière
Inéikaàdé,n.,a name,,m.f. a name [Inéi-ki-àkí-̣de ‘Be proud of your own’],a name
ineínèi¹,n.,point of scoring in the game of tops when one of the players has taken two tops,,"point of scoring in the game of tops (ọgbọ́lọ̀ tein) when one of the players has taken two tops; he shouts ‘My own, my own!’ to claim them.",point of scoring in the game of tops when one of the players has taken two tops
ineínèi¹,n.,"he shouts ‘My own, my own!’ to claim them",,"point of scoring in the game of tops (ọgbọ́lọ̀ tein) when one of the players has taken two tops; he shouts ‘My own, my own!’ to claim them.","he shouts ‘My own, my own!’ to claim them"
inénghi³,n.,buttock,,buttock(s),buttock
inénghi-opoolo,n.,anus,,anus,anus
inénghipaaraị,n.,one of the buttocks,,one of the buttocks,one of the buttocks
inénghi-uke,n.,inside of anus,,inside of anus,inside of anus
inénghiwarị,n.,buttocks inénghi bàra faá ?? unbearable,,buttocks (esp. of women) inénghi bàra faá ?? unbearable [Needs further explanation or examples],buttocks inénghi bàra faá ?? unbearable
inénghiwala,n.,paddle-steamer,,paddle-steamer,paddle-steamer
ingélenge,n.,xylophone,,xylophone; marimba,xylophone
ingélenge,n.,marimba,,xylophone; marimba,marimba
ingelengelé,n.,liver,,liver,liver
ingó,n.,poverty,,poverty,poverty
ingólèí,n.,shell,,shell (as of edible snail); osi-ingólèi shell of snail,shell
ingólèí,n.,osi-ingólèi shell of snail,,shell (as of edible snail); osi-ingólèi shell of snail,osi-ingólèi shell of snail
inimá,n.,fish resembling ukpókù,,fish resembling ukpókù,fish resembling ukpókù
ínkì,n.,ink,,ink [<English ink],ink
ínsìsi,n.,hinge,,hinge [<English hinge],hinge
ínzìni,n.,engine,,engine [<English engine],engine
ínzìrí,n.,“George” cloth,,“George” cloth [<English India],“George” cloth
ipébu,n.,bow,,bow,bow
ipébugbasa,n.,arrow,,arrow [‘bow-stick’],arrow
ipélè,n.,draughts,,draughts (game); ipélè tein play draughts,draughts
ipélè,n.,tein play draughts,,draughts (game); ipélè tein play draughts,tein play draughts
ipélè-imbi,n.,draughtsman,,draughtsman,draughtsman
ipélipelì,n.,oil-palm seedling,,oil-palm seedling (cf. ịtọ́bọị),oil-palm seedling
ipútù,n.,rain-storm,,rain-storm,rain-storm
irókò,n.,iroko tree,,"iroko tree (Milicia excelsa (Welw.) C. C. Berg MORACEAE) (=kụ́ụ, subei tịíṇ , alagbá tìṇ ) [<English iroko and/or Yoruba ìrókò] [But kụ́ụ is mahogany!]",iroko tree
irókò,n.,Berg MORACEAE),,"iroko tree (Milicia excelsa (Welw.) C. C. Berg MORACEAE) (=kụ́ụ, subei tịíṇ , alagbá tìṇ ) [<English iroko and/or Yoruba ìrókò] [But kụ́ụ is mahogany!]",Berg MORACEAE)
iroroyé,n.,thought isé num. nine,iséna kịmì ̣ nine men,thought isé num. nine; isé karamọ ninth iséna num. nine (qualifying form),thought isé num. nine
iroroyé,n.,isé karamọ ninth iséna num. nine,iséna kịmì ̣ nine men,thought isé num. nine; isé karamọ ninth iséna num. nine (qualifying form),isé karamọ ninth iséna num. nine
iseín²,n.,row,,row; furrow,row
iseín²,n.,furrow,,row; furrow,furrow
iséle,n.,camwood,,(ground) camwood,camwood
isélebara,n.,piece of heartwood which is ground on owórò to produce camwood,,piece of heartwood which is ground on owórò to produce camwood (iséle),piece of heartwood which is ground on owórò to produce camwood
isélekpoo,n.,small lump of camwood,,small lump of camwood (made from wet powdered camwood and dried),small lump of camwood
Isélema,n.,Warri,,Warri,Warri
isélepaan,n.,amniotic sac,,amniotic sac,amniotic sac
isené-ọrụ̀baụ,n.,iyóro-fish sp,,iyóro-fish sp. (=asịná- yòrobaụ),iyóro-fish sp
isenleí,n.,"space between fingers, usu. bára- ìsenlei",,"space between fingers, usu. bára- ìsenlei; space between toes, usu. bụ́o-isenlei","space between fingers, usu. bára- ìsenlei"
isenleí,n.,"space between toes, usu. bụ́o-isenlei",,"space between fingers, usu. bára- ìsenlei; space between toes, usu. bụ́o-isenlei","space between toes, usu. bụ́o-isenlei"
iserí,n.,testimony,,testimony; witness; iseri sụọ́/tịẹ́ be a witness,testimony
iserí,n.,witness,,testimony; witness; iseri sụọ́/tịẹ́ be a witness,witness
iserí,n.,iseri sụọ́/tịẹ́ be a witness,,testimony; witness; iseri sụọ́/tịẹ́ be a witness,iseri sụọ́/tịẹ́ be a witness
iseri-aráụ,n.,female witness,,f. female witness,female witness
iseri-owéi,n.,male witness see tọ́rụ-isi,,male witness (isi) see tọ́rụ-isi,male witness see tọ́rụ-isi
isoú,n.,cluster,,cluster (e.g. of coconuts or of fish strung together); okokodíạ̀ isou a cluster of coconuts,cluster
isoú,n.,okokodíạ̀ isou a cluster of coconuts,,cluster (e.g. of coconuts or of fish strung together); okokodíạ̀ isou a cluster of coconuts,okokodíạ̀ isou a cluster of coconuts
isóun,n.,"a small fish, finger-size freshwater clupeid",,"a small fish, finger-size freshwater clupeid (Pellonula spp.)","a small fish, finger-size freshwater clupeid"
isúru¹,n.,spines on palm fruit,,spines on palm fruit,spines on palm fruit
itígbiri,n.,big Kano cloth,,big Kano cloth,big Kano cloth
itísein,n.,headpad,,headpad,headpad
ititá,n.,heel,,heel; part of hand corresponding to heel; itita tụá walk on one’s heels; bára- ìtita heel of hand; lower part of palm; bụ́ọ- ìtita heel [tone?],heel
ititá,n.,part of hand corresponding to heel,,heel; part of hand corresponding to heel; itita tụá walk on one’s heels; bára- ìtita heel of hand; lower part of palm; bụ́ọ- ìtita heel [tone?],part of hand corresponding to heel
ititá,n.,itita tụá walk on one’s heels,,heel; part of hand corresponding to heel; itita tụá walk on one’s heels; bára- ìtita heel of hand; lower part of palm; bụ́ọ- ìtita heel [tone?],itita tụá walk on one’s heels
ititá,n.,bára- ìtita heel of hand,,heel; part of hand corresponding to heel; itita tụá walk on one’s heels; bára- ìtita heel of hand; lower part of palm; bụ́ọ- ìtita heel [tone?],bára- ìtita heel of hand
ititá,n.,lower part of palm,,heel; part of hand corresponding to heel; itita tụá walk on one’s heels; bára- ìtita heel of hand; lower part of palm; bụ́ọ- ìtita heel [tone?],lower part of palm
ititá,n.,bụ́ọ- ìtita heel,,heel; part of hand corresponding to heel; itita tụá walk on one’s heels; bára- ìtita heel of hand; lower part of palm; bụ́ọ- ìtita heel [tone?],bụ́ọ- ìtita heel
itóbo,n.,sandbank side of river,,"sandbank side of river; flood bank, used for farming",sandbank side of river
itóbo,n.,"flood bank, used for farming",,"sandbank side of river; flood bank, used for farming","flood bank, used for farming"
itóbokan,n.,Tantalus monkey,,Tantalus monkey (Cercopithecus tantalus) [Kolokuma?],Tantalus monkey
itóbokòri,n.,stinging ant usually found in farmland,,stinging ant usually found in farmland,stinging ant usually found in farmland
itú¹,n.,flock,,flock; heap; group; age-grade; herd; gang; batch,flock
itú¹,n.,heap,,flock; heap; group; age-grade; herd; gang; batch,heap
itú¹,n.,group,,flock; heap; group; age-grade; herd; gang; batch,group
itú¹,n.,age-grade,,flock; heap; group; age-grade; herd; gang; batch,age-grade
itú¹,n.,herd,,flock; heap; group; age-grade; herd; gang; batch,herd
itú¹,n.,gang,,flock; heap; group; age-grade; herd; gang; batch,gang
itú¹,n.,batch,,flock; heap; group; age-grade; herd; gang; batch,batch
ivín¹,n.,cow,,cow,cow
ivín²,n.,palm kernel,,palm kernel,palm kernel
ivínfụmụ,n.,seed of palm kernel,,A. seed of palm kernel; B. palm kernel,seed of palm kernel
ivínfụmụ,n.,palm kernel,,A. seed of palm kernel; B. palm kernel,palm kernel
ivín-ịsọụn,n.,broken shell of palmnut,,broken shell of palmnut,broken shell of palmnut
ivíntọbọụ,n.,calf,,calf [cow-child],calf
ivín-ụngbọ,n.,endocarp containing single seed,,endocarp containing single seed (cf. okpókoro),endocarp containing single seed
iwé²,n.,envy,,envy; jealousy,envy
iwé²,n.,jealousy,,envy; jealousy,jealousy
iwé³,n.,tattoo mark along the cheek,,tattoo mark along the cheek,tattoo mark along the cheek
iweé,n.,thatch overhang at end of house,,thatch overhang at end of house,thatch overhang at end of house
Iwékụmọ,n.,f a name,,m.f a name [Iwé kụmọ ‘Do not covet’],f a name
iyé,n.,thing,"iyé serigha nothing; there was no major happening, no casualties; nothing bad or serious happened","(older form of yé, which see); thing",thing
iyóro,n.,snakehead,,snakehead (fish) (Parachanna obscura CHANNIDAE) (cf. ọgbọụgbasá),snakehead
iyoú,n.,low-lying part of bush completely under water in rainy season,,low-lying part of bush completely under water in rainy season,low-lying part of bush completely under water in rainy season
izán,n.,young palm fronds,,young palm fronds,young palm fronds
izímina,n.,"bird, the ostrich",,"bird, the ostrich (Struthio camelus STRUTHIONIDAE) [<Hausa jìminaa ‘female ostrich’]","bird, the ostrich"
izú,n.,uninhabited place,,A. uninhabited place; B. a wide stretch of cultivated land with many farm plots,uninhabited place
izú,n.,a wide stretch of cultivated land with many farm plots,,A. uninhabited place; B. a wide stretch of cultivated land with many farm plots,a wide stretch of cultivated land with many farm plots
izúmu,n.,"fish which gives an electric shock, especially from the tail end (Mormyrus rume",,"fish which gives an electric shock, especially from the tail end (Mormyrus rume C. & V. MORMYRIDAE) N","fish which gives an electric shock, especially from the tail end (Mormyrus rume"
izúmu,n.,&,,"fish which gives an electric shock, especially from the tail end (Mormyrus rume C. & V. MORMYRIDAE) N",&
izúmu,n.,MORMYRIDAE) N,,"fish which gives an electric shock, especially from the tail end (Mormyrus rume C. & V. MORMYRIDAE) N",MORMYRIDAE) N
ịgá²,n.,deformity,,deformity (of limbs),deformity
ịgálaba,n.,the state of being riotous,,the state of being riotous; rowdy behaviour; state of confusion,the state of being riotous
ịgálaba,n.,rowdy behaviour,,the state of being riotous; rowdy behaviour; state of confusion,rowdy behaviour
ịgálaba,n.,state of confusion,,the state of being riotous; rowdy behaviour; state of confusion,state of confusion
ịgálị,n.,lumps on the body produced by Recklinghausen’s disease,,lumps on the body produced by Recklinghausen’s disease; protid tumour;,lumps on the body produced by Recklinghausen’s disease
ịgálị,n.,protid tumour,,lumps on the body produced by Recklinghausen’s disease; protid tumour;,protid tumour
ịgálịtụabọ,n.,person suffering from Recklinghausen’s disease,,person suffering from Recklinghausen’s disease,person suffering from Recklinghausen’s disease
ịgbá,n.,creeper,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",creeper
ịgbá,n.,rope,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",rope
ịgbá kpụn,n.,have a tug-of-war,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",have a tug-of-war
ịgbá,n.,beké-ìg̣ba European rope,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",beké-ìg̣ba European rope
ịgbá,n.,bou- ịgbá bush rope,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",bou- ịgbá bush rope
kọn-ịgbá,n.,"ceremonial necklace, equivalent to a wedding ring, worn by a wife",,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein","ceremonial necklace, equivalent to a wedding ring, worn by a wife"
ịgbá,n.,long rope-like bodily organ,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",long rope-like bodily organ
asịn-ịgbá,n.,blood-vessel,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",blood-vessel
ịgbá,n.,kála àsịn-ịgba capillary,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",kála àsịn-ịgba capillary
ịgbá,n.,kála furòu-ịgba small intestine,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",kála furòu-ịgba small intestine
ịgbá,n.,opu furóu-ìg̣ba large intestine,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",opu furóu-ìg̣ba large intestine
ịgbá,n.,ọdụ́dụ-duo-bo-ịgba artery,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",ọdụ́dụ-duo-bo-ịgba artery
ịgbá,n.,ọdụ́dụ-ghọ- muyemi-ịgba vein,,"A. creeper; rope; ịgbá kpụn have a tug-of-war; beké-ìg̣ba European rope; bou- ịgbá bush rope; kọn-ịgbá ceremonial necklace, equivalent to a wedding ring, worn by a wife; B. (anat.) long rope-like bodily organ; asịn-ịgbá blood-vessel; kála àsịn-ịgba capillary; kála furòu-ịgba small intestine; opu furóu-ìg̣ba large intestine; ọdụ́dụ-duo-bo-ịgba artery; ọdụ́dụ-ghọ- muyemi-ịgba vein",ọdụ́dụ-ghọ- muyemi-ịgba vein
ịgbáaị,n.,chips,,chips (of wood),chips
ịgbágba,n.,soup or cooked food without palm oil,,soup or cooked food without palm oil,soup or cooked food without palm oil
Ngbáịnwarị,n.,a town in Opokumá ìbe in Northern Nzọn,,a town in Opokumá ìbe in Northern Nzọn,a town in Opokumá ìbe in Northern Nzọn
ịgbálị,n.,thorn ̣,,"A. (large) thorn (cf. ịgịgaí)̣; B. creeping plant with thorns (Combretum sp.); ịgbálị so11k11 i11 11 bring out thorns, etc., with needle; owéi ịgbalị [uses?](Combretum racemosum P.Beauv. COMBRETACEAE)",thorn ̣
ịgbálị,n.,creeping plant with thorns,,"A. (large) thorn (cf. ịgịgaí)̣; B. creeping plant with thorns (Combretum sp.); ịgbálị so11k11 i11 11 bring out thorns, etc., with needle; owéi ịgbalị [uses?](Combretum racemosum P.Beauv. COMBRETACEAE)",creeping plant with thorns
ịgbálị so11k11 i11 11,n.,"bring out thorns, etc., with needle",,"A. (large) thorn (cf. ịgịgaí)̣; B. creeping plant with thorns (Combretum sp.); ịgbálị so11k11 i11 11 bring out thorns, etc., with needle; owéi ịgbalị [uses?](Combretum racemosum P.Beauv. COMBRETACEAE)","bring out thorns, etc., with needle"
ịgbálị,n.,owéi ịgbalị (Combretum racemosum,,"A. (large) thorn (cf. ịgịgaí)̣; B. creeping plant with thorns (Combretum sp.); ịgbálị so11k11 i11 11 bring out thorns, etc., with needle; owéi ịgbalị [uses?](Combretum racemosum P.Beauv. COMBRETACEAE)",owéi ịgbalị (Combretum racemosum
ịgbálị,n.,Beauv. COMBRETACEAE),,"A. (large) thorn (cf. ịgịgaí)̣; B. creeping plant with thorns (Combretum sp.); ịgbálị so11k11 i11 11 bring out thorns, etc., with needle; owéi ịgbalị [uses?](Combretum racemosum P.Beauv. COMBRETACEAE)",Beauv. COMBRETACEAE)
ịgbanụ́,n.,group of people from particular place,"Sẹ́ị ịgbanụ ma boyemi The dance group is coming; B. gang (in a bad sense), usu. sei ịgbánụ̀",A. group of people from particular place,group of people from particular place
ịgbáragbarà,n.,thorny tree whose wood is used for canoe-seats and firewood,"Okí sèiyá, ịgbáragbarà When the swimming is bad, (you don’t mind clinging to) ịgbáragbarà (which is thorny).","thorny tree whose wood is used for canoe-seats and firewood; its bark is boiled in water and used as medicine for wounds, esp. for female circumcision (Bridelia micrantha (Hochst.) Baill., and/or Macaranga spp. (heudelotii) EUPHORBIACEAE)",thorny tree whose wood is used for canoe-seats and firewood
ịgbáragbarà,n.,"its bark is boiled in water and used as medicine for wounds, esp. for female circumcision Baill., and/or Macaranga spp. EUPHORBIACEAE)","Okí sèiyá, ịgbáragbarà When the swimming is bad, (you don’t mind clinging to) ịgbáragbarà (which is thorny).","thorny tree whose wood is used for canoe-seats and firewood; its bark is boiled in water and used as medicine for wounds, esp. for female circumcision (Bridelia micrantha (Hochst.) Baill., and/or Macaranga spp. (heudelotii) EUPHORBIACEAE)","its bark is boiled in water and used as medicine for wounds, esp. for female circumcision Baill., and/or Macaranga spp. EUPHORBIACEAE)"
ịgbárara,n.,"area around house protected by overhang of roof, usu. wárị-ìg̣barara",,"area around house protected by overhang of roof, usu. wárị-ìg̣barara","area around house protected by overhang of roof, usu. wárị-ìg̣barara"
Ngbásolo,n.,name of shrine in Báalịbou family at Igbedi,,name of shrine in Báalịbou family at Igbedi,name of shrine in Báalịbou family at Igbedi
ịgbọ́bàraye,n.,network,,(tech.) network [‘net-manner- thing’],network
ịgbọ́tọ̀rụ,n.,mesh of cast-net,,mesh of cast-net,mesh of cast-net
ịgbụmụ́,n.,canoe being carved before it is “burnt” to widen it,,canoe being carved before it is “burnt” to widen it; unfinished canoe,canoe being carved before it is “burnt” to widen it
ịgbụmụ́,n.,unfinished canoe,,canoe being carved before it is “burnt” to widen it; unfinished canoe,unfinished canoe
ịgịlá,n.,cataract,,cataract (in the eye),cataract
ịgụá¹,n.,"large seed-pod from ịgụá tree used as leg-rattle for dancing by “masquerades”, larger than ịgụasáịnsaịn from",,"large seed-pod from ịgụá tree used as leg-rattle for dancing by “masquerades”, larger than ịgụasáịnsaịn (=ikpíri²) from","large seed-pod from ịgụá tree used as leg-rattle for dancing by “masquerades”, larger than ịgụasáịnsaịn from"
ịgụá²,n.,representative of younger people at a dance for a deity,,representative of younger people at a dance for a deity (óru sẹị); ịgụa-aráụ female representative; ịgụa-owéi male representative,representative of younger people at a dance for a deity
ịgụá²,n.,ịgụa-aráụ female representative,,representative of younger people at a dance for a deity (óru sẹị); ịgụa-aráụ female representative; ịgụa-owéi male representative,ịgụa-aráụ female representative
ịgụá²,n.,ịgụa-owéi male representative,,representative of younger people at a dance for a deity (óru sẹị); ịgụa-aráụ female representative; ịgụa-owéi male representative,ịgụa-owéi male representative
ịgụa-arụ́,n.,fairly large canoe loaded with people for ceremonial purposes,"to make peace, to make negotiations, to demand a right, for revenge, or for other ceremonies. It contrasts with ọmụ́ arụ ‘war-canoe’, which is the biggest size, in which men are in war-dress, carry guns, stand up and dance, display at the bows and stern, call titles, and are accompanied by war-drums. In ịgụa-arụ́, which is smaller, there can be both men and women, all seated, in ordinary dress, accompanied by the kpangbú drum.",fairly large canoe loaded with people (about 5-15) for ceremonial purposes,fairly large canoe loaded with people for ceremonial purposes
ịgụ́aịn,n.,brass ring or anklet worn by little children,,brass ring or anklet worn by little children,brass ring or anklet worn by little children
ịgụ́asị,n.,small tree Planch VITACEAE),,small tree (Cissus aralioides (Welw. ex Bak.) Planch VITACEAE),small tree Planch VITACEAE)
ịkábụkabụ̀,n.,chewing gum obtained from tála fruit,,chewing gum obtained from tála fruit,chewing gum obtained from tála fruit
ịkágị¹,n.,trickster,,trickster; nickname of tortoise (cf. iwíri =ogbó [?]),trickster
ịkágị¹,n.,nickname of tortoise,,trickster; nickname of tortoise (cf. iwíri =ogbó [?]),nickname of tortoise
ịkákaị¹,n.,star,,star; destiny; luck,star
ịkákaị¹,n.,destiny,,star; destiny; luck,destiny
ịkákaị¹,n.,luck,,star; destiny; luck,luck
ịkákaị²,n.,loose and over-ripe palm nuts that fall out,,loose and over-ripe palm nuts that fall out,loose and over-ripe palm nuts that fall out
ịkánị,n.,raphé,,"raphé (anat.); the tiny natural line at the lower part of the penis, dividing the scrotum into two parts, finally entering the anus",raphé
ịkánị,n.,"the tiny natural line at the lower part of the penis, dividing the scrotum into two parts, finally entering the anus",,"raphé (anat.); the tiny natural line at the lower part of the penis, dividing the scrotum into two parts, finally entering the anus","the tiny natural line at the lower part of the penis, dividing the scrotum into two parts, finally entering the anus"
ịkárà,n.,"funnel-entrance fish-trap, larger than ow1111 ow1111 ó11",,"funnel-entrance fish-trap, larger than ow1111 ow1111 ó11;11 ịkárà pịtẹ/koromọ fish with ịkárà","funnel-entrance fish-trap, larger than ow1111 ow1111 ó11"
ịkárà,n.,11 ịkárà pịtẹ/koromọ fish with ịkárà,,"funnel-entrance fish-trap, larger than ow1111 ow1111 ó11;11 ịkárà pịtẹ/koromọ fish with ịkárà",11 ịkárà pịtẹ/koromọ fish with ịkárà
Nkarámà,n.,"town in Ọkọ́dịa ibe of Northern Nzọn ịkarịkárì ̣small fish with three spikes which can wound very painfully, found in lakes and fish-ponds",,"town in Ọkọ́dịa ibe of Northern Nzọn ịkarịkárì ̣small fish with three spikes which can wound very painfully, found in lakes and fish-ponds (Auchenoglanis spp.)","town in Ọkọ́dịa ibe of Northern Nzọn ịkarịkárì ̣small fish with three spikes which can wound very painfully, found in lakes and fish-ponds"
ịkọọ́,n.,poisoned arrow,,poisoned arrow,poisoned arrow
ịkọtọ́,n.,disease of the bones causing deformation of the legs,,disease of the bones causing deformation of the legs; rickets,disease of the bones causing deformation of the legs
ịkọtọ́,n.,rickets,,disease of the bones causing deformation of the legs; rickets,rickets
ịkpáịnkpụrụ,n.,small and clever or wise person,,small and clever or wise person,small and clever or wise person
ịkpákpa,n.,pair of small wooden clappers with handles beaten together by women during the following dances,"ẹgẹnẹ́, ungú sẹị, óru sẹị, etc. It gets its name from the sound of the clappers, (mus.) leaf-shaped wooden concussion plaques",pair of small wooden clappers with handles beaten together by women during the following dances,pair of small wooden clappers with handles beaten together by women during the following dances
